Sno,Project Name ,Location ,City ,Google Map link,Acres of the property ,Near By Locations,Configeration of the properties ,Stating Rate Per Sq ft,Budget Range ,RERA Number ,Amenities and a Brief Description ,PDF Brouchure ,Website Link
1,Promenade,Yelahanka,Banglore,https://maps.app.goo.gl/bmW1gYuTJ1FWsd2x9,3.89 acres,"Jakkur
Allalasandra
Puttenahalli
Attur Layout
Bharti Nagar
Kenchenahalli
Chowdeshwari Layout
Vidyaaranyapura","3 BHK
4 BHK","Rs/- 7599

",1.48Cr (Basic cost + Other Charges),"PRM/KA/RERA/1251/309/PR/070525/007719

","""Exclusive rooftop amenities like Hangout Plaza, Grilling Pavilion,
Rooftop café and more
 3400 sqft serene swimming pool with lots of water-based amenities 
Multipurpose hall with Pantry,Mini Theatre,Sky Cinema,GYM.""

",https://www.casagrand.co.in/wp-content/uploads/2025/05/Promenade-Brochure-Online-1.pdf,https://www.casagrand.co.in/residential/ongoing-projects-bangalore/casagrand-promenade/
2,Estancia,Kogilu,Bangalore,https://share.google/aOtZnxDJunJsLTCnL,7.32 acres,"Yelahanka
Thanisandra
Jakkur
Allalasandra
Yelahanka New Town","3 BHK
4 BHK+4T",Rs/- 7799,1.48Cr (Basic cost + Other Charges),PRM/KA/RERA/1251/472/PR/110925/008086,"22500 sqft Grand Clubhouse with 
11500 sqft Impressive Swimming
Pool, Pickle Ball Court, Minitheater, Café, 
Co-working space, Car charge & Car wash bay, Sky cinema",https://www.casagrand.co.in/wp-content/uploads/2025/09/Estancia-Brochure-low-res-2-1.pdf,https://www.casagrand.co.in/residential/ongoing-projects-bangalore-kogilu/casagrand-estancia-casagrand/
3,Casablanca,Off Kanakkapura Road,Bangalore,https://maps.app.goo.gl/Hs3k8s1P7pszeTcX6,18-acres,"Anjanapura
Talaghattapura
Yelachenahalli
Konanakunte
Uttarahalli","4 BHK
""FLOOR VILLA - 5BHK /
 SKY VILLA""
5 BHK Pent House",Rs/- 7799,2.43Cr (Basic cost + Other Charges),PRM/KA/RERA/1251/310/PR/040524/006862,"1700+ homes Community on 27-acres
 23-acres of open space with 15 acres of central landscape and tropical forest
 ⁠Basement car parking for complete vehicle free community 
 Blocks positioned for maximum ventilation & overlooks greenery
 100+ World-class amenities with 2.5 Acre Largest clubhouse 
 (Include 24000 sqft Grand Swimming Pool, excluisve Indoor Sports arena with 4 badminton, 3 squash courts, Huge Amphitheater to host 450+ audience, Forest walkways with ponds, Roman themed Wellness Gardens & more)",https://www.casagrand.co.in/wp-content/uploads/2024/05/Casablanca-Brochure.pdf,https://www.casagrand.co.in/residential/ongoing-projects-bengaluru-kanakapura-road/casagrand-casablanca/
15,Flagship,Pallikaranai,Chennai,https://maps.app.goo.gl/KSuiorWdzXb2YNk39,17.58 Acres,"Perumbakkam, Velachery ,Medavakkam ,Shollingannalur ,Perungudi","2BHK , 3BHK , 4BHK", ₹ 5049 / Sqft,75 L to 1.38Cr,TN/29/BUILDING/0531/2022,"Thoughtfully designed 2,3 & 4 BHK Tudor Styled apartments with S+5 structure.Offers 110+ world class amenities for a superior lifestyle
 An elaborate clubhouse of 34,000 sq.ft with luxurious amenities like Spa, Sauna, Jacuzzi & Salon
100% Vaastu compliant homes with zero dead space",file:///C:/Users/CTS14417/Downloads/Flagship-Brochure-Affordable-Superior%20(2).pdf,https://www.casagrand.co.in/residential/ongoing-projects-chennai/casagrand-flagship/
16,Southbrooke,Kelambakkam,Chennai,https://maps.app.goo.gl/4N5e4NTrWWEcAYxE7,7.21 Acres,"Kelambakkam,Thiruporur,
Navalur,Padur,Kovalam,Siruseri",3 BHK ,Rs.4200 / sq.ft,53L to 59 L ( Basic Cost + Other charges)            55 L ( Basic Cost + Other charges),TN/35/BUILDING/0413/2024,"•Kids themed community
  115+ Amenities -Swimming pool, futsal court, amphitheater, gym, children’s play area & Other amenities.
  •14500 Sqft  Lavish Clubhouse ",https://casagrandsouthbrooke.com/wp-content/uploads/2024/07/SouthBrooke-Ph-2-Brochure.pdf,https://www.casagrand.co.in/residential/ongoing-projects-chennai/casagrand-southbrooke/
17,Avenuepark,Perungudi ,Chennai,https://maps.app.goo.gl/ioNc4PLNQXH3MPPf7,4 Acres,"Thoraipakkam,Mettukuppam,
Kanthanchavadi,Tharamani,
Velachery,Thiruvanmayur,Adyar,
Mandaveli,Mylopore",3 BHK and 4BHK,Rs 14000/ Sqft,2.84Cr to 3.24Cr,TN/29/Building/0419/2024,"2.6 acres of open space for maximum light and ventilation.Mindfully Choosen High end specifications & Premium fittings in all units. 8500 sqft of dedicated clubhouse, 3800 sqft of swimming pool.20,000 sq ft green courtyard for outdoor recreational activities",https://drive.google.com/file/d/1MKqi3iUe2lMaVpBrlxrxabJyNjgziPme/view?usp=sharing,https://www.casagrand.co.in/residential/ongoing-projects-chennai-perungudi/casagrand-avenue-park/
18,Massimo,Kovur ,Chennai,https://maps.app.goo.gl/zcD4K3EgveuRPsVg6,7.9 acres,"guindy 
Kovur 
Mangadu
Gerugambakkam","2,3 and 4 BHK",Rs 4749/ Sqft,64L - 1.31 cr,TN/1/BUILDING/0362/2024, Ultra-modern clubhouse with 70 amenities enhancing the social environment and liveliness of the community,https://www.casagrand.co.in/wp-content/uploads/2024/05/Casagrand-Massimo-Brochure.pdf,https://www.casagrand.co.in/residential/ongoing-projects-chennai/casagrand-massimo/
19,Elysium,Manappakam,Chennai,https://maps.app.goo.gl/AVtpHvB7WtBt58Mt5,14.9 Acres,"Guindy, Porur, Kundrathur, Pallavaram, Chrompet, Saidapet, Nanganallur, Meenambakkam",2BHK and 3BHK,₹ 5099 / Sqft,65L-1.01 CR,TN/29/Building/00173/2023,"120 + Amenities & features like exclusive swimming pool, Mini-theatre, Co-working space, ATM, Convenience store, clinic, tennis Court, Beach Volleyball, Box Cricket, Bowling Lane, Skating Arena & many more.
A lavish clubhouse of 31,000 sq.ft delivers luxurious amenities like Spa, Shio-salt Room, Unisex-Salon & Hanging Zen Garden
60,000 Sqft of landscaped natural greens midst the community for maximized Light & Ventilation.",https://drive.google.com/drive/folders/1xPCcu8RjvD3Qa-wIuXEf9eqAaW6e0Yls,https://www.casagrand.co.in/residential/ongoing-projects-chennai-manapakkam/casagrand-elysium/?srsltid=AfmBOorMWcwvo-6_b-WHgM2KdC58a4AJRQZvlVHyphLHgTloRYiJsrLH
20,Primrose,"Perungulathur , Chennai",Chennai,https://maps.app.goo.gl/dR8ARUNX9o5Cq2xY8,9.14 Acres,"Tambaram, Padappai, Vandalur,
Manivakkam, Chrompet, Guduvancherry	","2BHK , 3BHK , 4BHK",₹ 3849 / Sqft,₹54 L - ₹1.83 Cr,TN/29/Building/533/2022,"Swimming pool, amphitheater, gym, children’s play area & Other amenities.95 + World Class Amenities
Lavish Clubhouse of 28550 Sqft


High Rise Apartments",https://www.casagrand.co.in/wp-content/uploads/2023/09/CG-Primrose-Brochure2-3bhk.pdf,https://www.casagrand.co.in/residential/ongoing-projects-chennai-perungalathur/casagrand-primrose/
21,Madelyn,Thirumudivakkam,Chennai,https://maps.app.goo.gl/GbcrUgjNvp6uHJHcA,6.47 Acres,"Thirumudivakkam,Pallavaram,
Thambaram,Guindy,
Chromepet,Aalanthur,
Polichalur,Outer ring road",2BHK and 3BHK,₹ 4299 / Sqft,₹61 L to ₹93 L,TN/1/Building/0605/2024,"6.5 acre development with 390+ high rise apartments
 90% open spaces (4.8-acre) lush greenery encourage recreational activities
 ⁠Basement parking for a complete vehicle-free community 
 Unhindered Block with no overlooking and uninterrupted views
 80+ modern amenities with a 11500 sqft Clubhouse",https://www.casagrand.co.in/wp-content/uploads/2024/12/Madelyn-Brochure-V2-Editable.pdf,https://www.casagrand.co.in/residential/ongoing-projects-chennai-pallavaram/casagrand-madelyn/
